Partido,Orientacion,Lista/Pacto
REPUBLICANO,Right,DIEGO ALBERTO VARGAS CASTILLO
IND-PS,Center-Left,JOCELYN  ORMEÑO LEE
REPUBLICANO,Right,NINOSKA ESTHER PAYAUNA VILCA
REPUBLICANO,Right,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ
REPUBLICANO,Right,CARMEN  MONTOYA MAYORGA
REPUBLICANO,Right,CARLOS SOLAR BARRIOS
IND-RD,Left,JOSE ANTONIO GONZALEZ PIZARRO
REPUBLICANO,Right,PAUL ALEXANDER SFEIR RUBIO
PS,Center-Left,MARCELA ALEXANDRA ARAYA SEPULVEDA
REPUBLICANO,Right,GLORIA YOLANDA PAREDES DIAZ
PCCH,Far-Left,FERNANDO ANTONIO VIVEROS REYES
UDI,Right,IVON  GUERRA AGUILERA
REPUBLICANO,Right,MARIA DE LOS ANGELES LOPEZ PORFIRI
REPUBLICANO,Right,ANTONIO BARCHIESI CHAVEZ
CS,Center-Right,MARIA SOLEDAD PARDO VERGARA
IND-PS,Center-Left,ALDO  VALLE ACEVEDO
UDI,Right,EDMUNDO ELUCHANS URENDA
REPUBLICANO,Right,LUIS SILVA IRARRAZAVAL
REPUBLICANO,Right,JORGE JOSE OSSANDON SPOERER
PCCH,Far-Left,KAREN VIVIANA ARAYA ROJAS
CS,Center-Right,YERKO ANTONIO LJUBETIC GODOY
EVOPOLI,Center-Right,GLORIA HUTT HESSE
REPUBLICANO,Right,SEBASTIAN ALBERTO FIGUEROA MELO
PS,Center-Left,MIGUEL  LITTIN CUCUMIDES
RN,Center-Right,IVONNE MANGELSDORFF GALEB
REPUBLICANO,Right,MARIA GATICA GAJARDO
REPUBLICANO,Right,RICARDO ORTEGA PERRIER
REPUBLICANO,Right,MIGUEL ROJAS SOTO
IND-PS,Center-Left,CHRISTIAN  SUAREZ CROTHERS
UDI,Right,MARIA CLAUDIA JORQUERA CORIA
REPUBLICANO,Right,PATRICIA SPOERER PRICE
REPUBLICANO,Right,ALDO SANHUEZA CARRERA
RD,Left,PALOMA IGNACIA ZUÑIGA CERDA
REPUBLICANO,Right,MARIELA ANDREA FINCHEIRA MASSARDO
REPUBLICANO,Right,HECTOR  URBAN ASTETE
RD,Left,KINTURAY CARLINA MELIN RAPIMAN
IND-UDI,Right,ARTURO PHILLIPS DORR
RN,Center-Right,GERMAN BECKER ALVEAR
REPUBLICANO,Right,JORGE  DE LA MAZA SCHLEYER
IND-PS,Center-Left,ALEJANDRO KOHLER VARGAS
IND-RN,Center-Right,LORENA GALLARDO CARDENAS
REPUBLICANO,Right,BEATRIZ ISABEL HEVIA WILLER
CS,Center-Right,NANCY CAROLA MARQUEZ GONZALEZ
UDI,Right,CARLOS  RECONDO LAVANDEROS
RD,Left,JULIO FRANCISCO ÑANCO ANTILEF
RN,Center-Right,PILAR CUEVAS MARDONES
REPUBLICANO,Right,CLAUDIA ALEJANDRA MAC-LEAN BRAVO
CS,Center-Right,JESSICA MILENA BENGOA MAYORGA
REPUBLICANO,Right,CECILIA VIOLETA MEDINA MENESES
UDI,Right,CAROLINA  NAVARRETE RUBIO
